ID,Address,Rooms,Type,Price,Date,Bathroom,Car,Landsize,Age,Lattitude,Longtitude
ID441936550,414/99 Dow St,2,u,845000.0,7/05/2016,2.0,2.0,2166.0,29.0,-37.8415,144.9412
ID874566543,30 Cedar St,2,h,1001000.0,26/07/2016,2.0,1.0,255.0,129.0,-37.8887,145.0207
ID483823554,5a Compton St,2,u,695000.0,27/05/2017,1.0,1.0,300.0,8.0,-37.80574,145.18832
ID591113817,4/287 Albion St,1,h,412000.0,8/04/2017,1.0,1.0,85.0,119.0,-37.7598,144.9563
ID531857796,1 Ashdown Ct,3,h,671000.0,26/08/2017,1.0,2.0,418.0,89.0,-37.66349,145.03391000000005
ID161329616,4/36 Acacia St,2,t,488500.0,27/06/2016,2.0,1.0,190.0,64.0,-37.7072,144.9241
ID820064845,4/299 Koornang Rd,2,u,804000.0,13/08/2016,2.0,1.0,0.0,26.0,-37.9,145.0548
ID111613108,64 Salisbury St,3,h,1435000.0,18/03/2017,1.0,3.0,633.0,15.0,-37.7608,144.9322
ID165873858,154 Halsey Rd,3,t,840000.0,3/09/2016,2.0,1.0,303.0,3.0,-37.718,144.878
ID637610585,17B McFarlane St,2,h,1085000.0,18/03/2017,2.0,1.0,152.0,44.0,-37.7661,145.0001
ID547210244,34 Ernest St,4,h,890000.0,12/11/2016,1.0,2.0,668.0,89.0,-37.7796,144.845
ID386364637,55 Warburton Rd,3,h,1385000.0,18/06/2016,1.0,1.0,444.0,109.0,-37.826,145.0734
ID604499774,112 McIlwraith St,2,h,1625000.0,16/09/2017,1.0,1.0,253.0,129.0,-37.78243,144.96871000000004
ID323329418,4/62 Moonya Rd,2,u,625000.0,7/11/2016,1.0,1.0,78.0,29.0,-37.8967,145.0627
ID523596587,12 Clifton St,4,h,1720000.0,18/03/2017,3.0,2.0,869.0,69.0,-37.8002,145.0999
ID631095448,54 Ardoyne St,3,h,940000.0,6/05/2017,2.0,2.0,572.0,69.0,-37.7966,144.8256
ID262826214,5 Tuxen Ct,5,h,1655000.0,27/11/2016,2.0,2.0,679.0,69.0,-37.9291,145.0283
ID780208399,3 Kirby Ct,4,h,875000.0,19/08/2017,3.0,4.0,793.0,39.0,-37.88793,145.27561
ID457337147,11 Findon St,2,h,1036000.0,3/12/2016,1.0,1.0,310.0,109.0,-37.8717,145.0399
ID594772133,5/652 Barkly St,2,u,456000.0,28/05/2016,1.0,1.0,0.0,44.0,-37.7966,144.8716
ID256084673,527 Kings Rd,3,h,790500.0,3/06/2017,2.0,2.0,808.0,14.0,-37.6943,144.78187
ID760695323,81 Erin St,3,h,1260000.0,3/09/2016,1.0,0.0,203.0,119.0,-37.8166,144.9945
ID330088714,44 Morley St,4,h,825000.0,30/07/2016,2.0,4.0,768.0,49.0,-37.6979,144.9377
ID261139257,68A Emo Rd,3,h,1625000.0,18/03/2017,2.0,1.0,87.0,29.0,-37.8769,145.05200000000005
ID165608645,8/705 Park St,2,u,601000.0,18/03/2017,1.0,1.0,0.0,49.0,-37.7778,144.9594
ID502936367,7 Celia St,3,h,986000.0,8/04/2017,1.0,3.0,337.0,69.0,-37.9331,145.0586
ID825573150,6 The Woodland,4,h,1678000.0,3/09/2017,2.0,2.0,943.0,49.0,-37.903059999999996,145.18171
ID163806325,36 Hatter St,3,h,1225000.0,27/11/2016,1.0,2.0,528.0,89.0,-37.9066,145.088
ID354250745,16 Nelson St,3,h,1520000.0,25/02/2017,2.0,1.0,0.0,3.0,-37.8363,144.9336
ID377951224,13 Cumquat Ct,4,h,500000.0,29/07/2017,2.0,0.0,579.0,29.0,-38.07202,145.27369
ID118599131,1/65 Keon Pde,3,u,500000.0,12/11/2016,1.0,1.0,359.0,59.0,-37.6957,145.0161
ID281346917,42 Kingsley Rd,3,h,815000.0,26/07/2016,1.0,2.0,550.0,54.0,-37.7208,144.9887
ID287731838,2/59 Smith St,2,h,573000.0,1/07/2017,1.0,1.0,0.0,49.0,-37.76732,144.94098
ID745603264,15 Stanley St,3,h,980000.0,4/03/2017,2.0,3.0,1029.0,69.0,-37.7115,144.9147
ID828913157,1 millgrove St,3,h,890000.0,26/08/2017,1.0,2.0,724.0,39.0,-37.88953,145.22056
ID165682450,12 McLean Ct,4,h,1440000.0,16/09/2017,3.0,6.0,717.0,34.0,-37.87831,145.24575
ID897199905,2/10 Matthews Rd,2,u,485000.0,22/05/2016,2.0,2.0,0.0,8.0,-37.9292,145.0708
ID879976260,581 Waterdale Rd,2,h,532000.0,27/05/2017,2.0,1.0,220.0,69.0,-37.73549000000001,145.0487
ID256678704,5 Barmah Gra,4,h,715000.0,24/06/2017,2.0,2.0,680.0,8.0,-37.612359999999995,144.90753
ID266865044,313/163 Cremorne St,1,u,415000.0,18/03/2017,1.0,1.0,0.0,119.0,-37.8301,144.9904
ID838892392,4 Blanche Ct,3,h,690000.0,3/06/2017,1.0,2.0,479.0,39.0,-37.73251,144.98178000000001
ID532739428,7 Wilks St,3,h,1520000.0,24/06/2017,2.0,2.0,426.0,13.0,-37.86323,145.01428
ID563215720,31 Elizabeth St,2,h,820000.0,10/12/2016,1.0,1.0,597.0,59.0,-37.7402,144.9807
ID822448567,8/33 McIntyre St,3,u,746000.0,17/09/2016,1.0,2.0,308.0,24.0,-37.8505,145.1065
