ID,Address,Suburb,Price,Type,Date,Rooms,Bathroom,Car,Landsize,Age,Latitude,Longitude,train_station_id,distance_to_train_station,travel_min_to_CBD,over_priced?,crime_A_average,crime_B_average,crime_C_average,closest_primary_school,distance_to_closest_primary,primary_school_ranking,closest_secondary_school,distance_to_closest_secondary,secondary_school_ranking
ID441936550,414/99 Dow St,PORT MELBOURNE,845000.0,u,2016-05-07,2,2.0,2.0,2166.0,29.0,-37.8415,144.9412,20043,2764.295334425362,0.0,False,85.95652173913044,1043.8666666666666,112.77777777777777,Port Melbourne Primary School,945.9371266020484,325,Albert Park College,654.0652124541239,131
ID874566543,30 Cedar St,CAULFIELD SOUTH,1001000.0,h,2016-07-26,2,2.0,1.0,255.0,129.0,-37.8887,145.0207,19953,1703.2668669898494,15.555555555555555,True,200.95652173913044,1136.6875,143.3,Caulfield Primary School,92.8845130133365,99,Glen Eira College,1556.6420543379188,215
ID483823554,5a Compton St,MITCHAM,695000.0,u,2017-05-27,2,1.0,1.0,300.0,8.0,-37.80574,145.18832,19900,1403.1295661751547,31.515151515151516,True,183.875,1454.9375,194.91666666666666,Mitcham Primary School,529.381944468283,180,Blackburn High School,3418.65847294973,216
ID591113817,4/287 Albion St,BRUNSWICK,412000.0,h,2017-04-08,1,1.0,1.0,85.0,119.0,-37.7598,144.9563,19967,417.8779372738159,5.266666666666667,True,111.5,355.93333333333334,60.333333333333336,St Margaret Mary's School,1059.6819604759382,483,Sydney Road Community School,1205.4996496920096,447
ID531857796,1 Ashdown Ct,LALOR,671000.0,h,2017-08-26,3,1.0,2.0,418.0,89.0,-37.66349,145.03391000000005,20005,1280.233751153283,14.089171974522293,False,177.47826086956522,1281.7333333333333,207.5,St Peter's School,1546.5421451916907,345,St Monica's College,950.4037276768936,250
ID161329616,4/36 Acacia St,GLENROY,488500.0,t,2016-06-27,2,2.0,1.0,190.0,64.0,-37.7072,144.9241,20032,674.5480298259921,10.928571428571429,False,210.45833333333334,1676.0,169.77777777777777,Glenroy Central Primary School,335.78909589795495,422,Glenroy Secondary College,289.01567106930963,511
ID820064845,4/299 Koornang Rd,CARNEGIE,804000.0,u,2016-08-13,2,2.0,1.0,0.0,26.0,-37.9,145.0548,19941,1381.0167921054192,18.57777777777778,True,462.9583333333333,3343.0588235294117,509.8333333333333,St Patrick's School,940.2155011868892,346,McKinnon Secondary College,1465.3953031929125,48
ID111613108,64 Salisbury St,MOONEE PONDS,1435000.0,h,2017-03-18,3,1.0,3.0,633.0,15.0,-37.7608,144.9322,20038,1270.8406965563474,6.338983050847458,True,49.473684210526315,102.25,21.88888888888889,Moonee Ponds Primary School,291.19146611741144,225,St Columba's College,1626.2884382125314,85
ID165873858,154 Halsey Rd,AIRPORT WEST,840000.0,t,2016-09-03,3,2.0,1.0,303.0,3.0,-37.718,144.878,20032,3765.0353417434326,10.928571428571429,True,150.25,1006.8666666666667,111.0,St Christopher's School,805.0677582660602,274,Essendon Keilor College,2524.2647409996484,460
ID637610585,17B McFarlane St,NORTHCOTE,1085000.0,h,2017-03-18,2,2.0,1.0,152.0,44.0,-37.7661,145.0001,20015,348.22664607829654,8.463576158940397,True,26.625,68.93333333333334,13.11111111111111,Northcote Primary School,690.6314842516671,285,Santa Maria College,517.9908617825273,137
